# {'GTAB': {'anchor_candidates_file': 'anchor_candidate_list.txt', 'num_anchor_candidates': 3500, 'num_anchors': 550, 'seed': 42, 'sleep': 0.5, 'thresh_offline': 10}}
# {'PYTRENDS': {'geo': 'US', 'timeframe': '2019-11-28 2020-07-28'}}
	google_query	max_ratio	max_ratio_lo	max_ratio_hi
0	/m/0mgkg	6934.431097046844	6087.223074083868	7921.204348591077
1	/m/0289n8t	2357.706572995927	2100.0919605589343	2653.603456778011
2	/m/081qc	801.6202348186154	724.5317263928323	888.9571580206338
3	/m/0fp6w	304.6156892310738	278.9447146612404	333.35893425773764
4	/m/01k17j	106.61549123087583	99.02537370474035	115.00883231891947
5	/m/0b3lj	39.44773175542406	37.13451513927763	41.978223796405615
6	/m/049qbg	15.384615384615385	14.668133480014665	16.161616161616163
7	/m/06qyn0	7.6923076923076925	7.4074074074074066	8.0
8	/m/04y_mn	1.0	1.0	1.0
9	/m/027q9n7	0.72	0.715	0.725
10	/m/09fb8t	0.5112	0.5040749999999999	0.518375
