	/m/019rl6
/m/05737b	4.5327447390570115e-05
/m/0dtkd4	5.651960657604025e-05
/m/02zk4n	5.790529465340686e-05
/m/03wfwl4	6.614960558745465e-05
/m/047p8qy	7.194949106557323e-05
/m/0cc7bks	7.478149793290639e-05
/m/09lrbv	8.02772653324903e-05
/m/0b8pxt	8.99100082102848e-05
/m/03nx2lq	9.409767596270514e-05
/m/07ctj5	9.496050219251946e-05
/m/06nhvb	9.532865333976764e-05
/m/0h3rf2j	0.00010061102381258137
/m/08fyx1	0.00010061102381258137
/m/0500_w	0.00010085623430134028
/m/0cwzb7	0.00010662256676658524
/m/032lgr	0.000110891388500531
/m/052rh	0.00011136870603746465
/m/061rtf	0.00011717694305569429
/m/05y3z	0.00012539662985182096
/m/079pwk	0.00012654109909055912
/m/07b7pm	0.00012724294368803287
/m/04py7r	0.00013640091587033265
/m/02pj5qr	0.00013999376901160132
/m/059zr0	0.00014077461005075268
/m/02zdhf	0.00014701673844696252
/m/04ppcm	0.000150103784467402
/m/048wsd	0.00015148388580463383
/m/03lgft	0.00015703356322284466
/m/026yhg	0.00016242674465343014
/m/08gyzm	0.00016446710260725
/m/05gw9r	0.00016826194648485258
/m/04gth2	0.00017119258736529
/m/05v2t3	0.00017475366297261229
/m/04ljg5	0.00018577444073381575
/m/063zzw	0.00021187706423238717
/m/014jmt	0.0002121911734897722
/m/0dyc53	0.00021673816234512761
/m/04n3_8	0.000218031552282392
/m/01qfm2	0.000218031552282392
/m/0fppz4	0.00022080175245237798
/m/02q8twm	0.00022628743366030367
/m/035bfz	0.00022751118499032214
/m/05zb4	0.0002289368774659639
/m/08pjw1	0.0002377763066880401
/m/01kkd6	0.0002464704504061823
/m/09s3w	0.00025709748265927113
/m/03cbl9_	0.0002578263437117857
/m/05g_xw	0.000258906391694754
/m/03ymgb	0.0002637653248607269
/m/04znch	0.000267360296149869
/m/01rjb2	0.0002821402814505946
/m/06x661	0.0003027983494453224
/m/016g4s	0.0003132865049648341
/m/01kf5_	0.00032110717217958857
/m/02y1kl	0.0003246182161142366
/m/0c8mb	0.00032658833334814016
/m/08zj5m	0.0003294272041097996
/m/097vqt	0.00037929178410397324
/m/0f99t	0.0004000655586087675
/m/02w3c7	0.0004140054159864981
/m/01h0j6	0.0004192116399256237
/m/0kpt_	0.0004235677065507891
/m/03_cjc	0.00043753381719798825
/m/01wc_w	0.0004684096512650446
/m/04b8t	0.0004696509598226221
/m/030rg4	0.0004761858550285113
/m/01pr2g	0.0004985304915985123
/m/056cvdf	0.0005126660328236621
/m/04_y8b	0.0005276874604451349
/m/0m1gt	0.0005856189317876141
/m/01cs49	0.0005882095530254214
/m/03lp1_	0.0005901058836752441
/m/01n2x4	0.0005971127740429365
/m/05n7f3	0.0005981103716276059
/m/02_ybg	0.0005997158952482189
/m/0dc3k	0.000613815967219036
/m/01ngsj	0.0006325574631110983
/m/01bp2v	0.0006531766666962803
/m/0m4tt	0.0006666793442617866
/m/0859j	0.0006992484125803418
/m/04knj_	0.0007234050509607096
/m/026xyy	0.0007255043890723165
/m/012mpq	0.0007669699870746343
/m/03s3rn	0.0008466307067498545
/m/03cpzmn	0.0008529229703471491
/m/017dpx	0.0009530661043905577
/m/01m3g2	0.0009592606865492513
/m/02k4sc	0.0010803087841840923
/m/027g73c	0.0011289679022068182
/m/0659_7	0.0011487577436678509
/m/01s08d	0.001251454245726527
/m/016zpp	0.0012790000477196025
/m/06dbhw	0.0013376248228545997
/m/05v6cdn	0.0013631330965102365
/m/01z3j2	0.0013827276359492772
/m/0lnyz	0.0014306581091619443
/m/08myc3	0.001515962460125248
/m/084_y	0.0015874832521276389
/m/01qvff	0.0016774423159766824
/m/07ckz	0.0017019440355707926
/m/0dwn8	0.0019498285798772207
/m/02kgf7	0.002197140140672838
/m/09qdd	0.0022910785094222208
/m/05bx6n	0.0024221564326752385
/m/020h7v	0.002759814064728149
/m/03d4p1	0.0027934307201612023
/m/0fbdb	0.0029484827253937187
/m/0207sy	0.0029707288928704344
/m/01qfl8	0.003098531824700262
/m/067b4q	0.0031041049502240317
/m/09jy30	0.003121988639904317
/m/073vd8	0.0031252415514142024
/m/01qpbt	0.0034799230447540327
/m/04lcnv9	0.0036275877298807603
/m/0c1xzr	0.0036679219278226752
/m/01f91_	0.0038072174944295337
/m/027pcv	0.004096682226632193
/m/02qctq	0.004251131698164704
/m/02rhy8s	0.004264614851735745
/m/02bh6d	0.00430892395815004
/m/03ksjg	0.004698719817676821
/m/02k5rl	0.004717341062645354
/m/021fl7	0.0049747270211212965
/m/04_pd3	0.005125226856364258
/m/02r5_b	0.005283462251897861
/m/0f2nzn	0.005693622541078404
/m/01cz4w	0.0064985085033845875
/m/0l6w2	0.006877131566477118
/m/05n4y	0.006993456384599925
/m/01bg5t	0.007956321860488868
/m/068hbh	0.009202083197968003
/m/01sbwk	0.009863602703302577
/m/01k_hc	0.01071177124963953
/m/07s28	0.011214539007092197
/m/01dwsz	0.012113873845912152
/m/02zvsm	0.012380273105542572
