	/m/019rl6
/m/04bcff	0.015915463683006746
/m/016gq4	0.01856705558044022
/m/01r1wt	0.019692450010256324
/m/011xdj	0.026955107516274432
/m/054hcy	0.030482181508074493
/m/01yt8c	0.03373333333333333
/m/05ml4	0.03398604080202598
/m/080vl	0.03468269990343267
/m/047mr6	0.037207869733855564
/m/01yvs	0.04059731163407513
/m/0b2334	0.04900501669322848
/m/0277rq	0.04974727021121297
/m/0dj6p	0.05270594048899371
/m/0fqtq	0.0626752162350019
/m/010qmszp	0.16
/m/07l4g	0.166472157599848
/m/03vgrr	0.16999999999999998
/m/0289n8t	0.27
/m/0fkw3	0.3475405134473017
/m/019rl6	1.0
