"v1"	"v2"	"mean_ratio"	"sd_ratio"
"/m/085kgv /m/08qpj0"	"/m/085kgv"	"/m/08qpj0"	0.8	0
"/m/085kgv /m/0kwmr"	"/m/085kgv"	"/m/0kwmr"	0.43956043956044	NA
"/m/08qpj0 /m/0233qc"	"/m/08qpj0"	"/m/0233qc"	0.492063492063492	0.0137464349807054
"/m/08qpj0 /m/03ymgb"	"/m/08qpj0"	"/m/03ymgb"	0.801282051282051	0.0453273577683684
"/m/08qpj0 /m/057r8t"	"/m/08qpj0"	"/m/057r8t"	0.1	0
"/m/08qpj0 /m/0kwmr"	"/m/08qpj0"	"/m/0kwmr"	0.5320994794679	0.0115673799884327
"/m/0971v /m/0663v"	"/m/0971v"	"/m/0663v"	0.29	0
"/m/0971v /m/09dh0"	"/m/0971v"	"/m/09dh0"	0.843333333333333	0.00577350269189626
"/m/0985p5 /m/02kgf7"	"/m/0985p5"	"/m/02kgf7"	0.22	0
"/m/0985p5 /m/0m2yl"	"/m/0985p5"	"/m/0m2yl"	0.394655172413793	0.0177186806751299
"/m/0b2334 /m/019rl6"	"/m/0b2334"	"/m/019rl6"	0.39	NA
"/m/0b2334 /m/0663v"	"/m/0b2334"	"/m/0663v"	0.82	NA
"/m/0bf81p /m/024ydr"	"/m/0bf81p"	"/m/024ydr"	0.555555555555556	NA
"/m/0bf81p /m/027z8f4"	"/m/0bf81p"	"/m/027z8f4"	0.142857142857143	NA
"/m/0bf81p /m/02h90v"	"/m/0bf81p"	"/m/02h90v"	0.1	NA
"/m/0bf81p /m/05rbmc"	"/m/0bf81p"	"/m/05rbmc"	0.294117647058824	NA
"/m/0cdk2 /m/0971v"	"/m/0cdk2"	"/m/0971v"	0.69047619047619	NA
"/m/0cdk2 /m/09dh0"	"/m/0cdk2"	"/m/09dh0"	0.58	7.85046229341888e-17
"/m/0cqrj /m/01hh4n"	"/m/0cqrj"	"/m/01hh4n"	0.27953488372093	0.000657773749940957
"/m/0cqrj /m/027pcv"	"/m/0cqrj"	"/m/027pcv"	0.12	0
"/m/0cqrj /m/0ctfk"	"/m/0cqrj"	"/m/0ctfk"	0.333333333333333	0
"/m/0cqrj /m/0syzv"	"/m/0cqrj"	"/m/0syzv"	0.424242424242424	NA
"/m/0ctfk /m/027pcv"	"/m/0ctfk"	"/m/027pcv"	0.363098591549296	0.00357794533018924
"/m/0ctfk /m/03vgrr"	"/m/0ctfk"	"/m/03vgrr"	0.14	NA
"/m/0ctfk /m/07fbm7"	"/m/0ctfk"	"/m/07fbm7"	0.261383647798742	0.00239654828720221
"/m/0h9q_ /m/02t1pr"	"/m/0h9q_"	"/m/02t1pr"	0.517619047619048	0.0332072445173546
"/m/0h9q_ /m/03d4p1"	"/m/0h9q_"	"/m/03d4p1"	0.751763833992095	0.0340018771585816
"/m/0h9q_ /m/04xmxz"	"/m/0h9q_"	"/m/04xmxz"	0.812866568914956	0.0594501250797531
"/m/0h9q_ /m/05s07p"	"/m/0h9q_"	"/m/05s07p"	0.431818181818182	NA
"/m/0h9q_ /m/061n6x"	"/m/0h9q_"	"/m/061n6x"	0.660919540229885	0.0081276641515695
"/m/0h9q_ /m/07hr9x"	"/m/0h9q_"	"/m/07hr9x"	0.186666666666667	0.00577350269189625
"/m/0hqkz /m/027pcv"	"/m/0hqkz"	"/m/027pcv"	0.1	NA
"/m/0hqkz /m/0cqrj"	"/m/0hqkz"	"/m/0cqrj"	0.833333333333333	NA
"/m/0hqkz /m/0ctfk"	"/m/0hqkz"	"/m/0ctfk"	0.277777777777778	NA
"/m/0kwmr /m/0233qc"	"/m/0kwmr"	"/m/0233qc"	0.907380952380952	0.00370389266335812
"/m/0kwmr /m/057r8t"	"/m/0kwmr"	"/m/057r8t"	0.19	1.60246890531964e-17
"/m/0l6sg /m/02fjhf"	"/m/0l6sg"	"/m/02fjhf"	0.909665474974464	0.0152580497983308
"/m/0l6sg /m/03ksjg"	"/m/0l6sg"	"/m/03ksjg"	0.8075	0.005
"/m/0m2yl /m/02kgf7"	"/m/0m2yl"	"/m/02kgf7"	0.58	7.85046229341888e-17
"/m/0syzv /m/01hh4n"	"/m/0syzv"	"/m/01hh4n"	0.6525	0.015
"/m/0syzv /m/02czv8"	"/m/0syzv"	"/m/02czv8"	0.42	NA
