	mid	name	score	types	is_food	is_dish	is_beverage	is_ingredient
/m/01k18d	/m/01k18d	Oreo	111416.58496300002	Dish,Food	1	1	0	0
/m/0cdn1	/m/0cdn1	Hamburger	67432.1922928	Dish,Food	1	1	0	0
/m/0cxn2	/m/0cxn2	Ice cream	64865.94306419999	Dish,Food	1	1	0	0
/m/0mjqn	/m/0mjqn	Pie	61702.3219281	Dish,Food	1	1	0	0
/m/0663v	/m/0663v	Pizza	58591.7813597	Dish,Food	1	1	0	0
/m/02y6n	/m/02y6n	French fries	48646.0	Dish,Food	1	1	0	0
/m/04t8sg	/m/04t8sg	Al dente	46910.5849625	Dish,Food	1	1	0	0
/m/0l6w2	/m/0l6w2	Pita	40691.807354900004	Dish,Food	1	1	0	0
/m/07crc	/m/07crc	Taco	40246.5849625	Dish,Food	1	1	0	0
/m/09702	/m/09702	Cappuccino	35073.3219281	Beverage,Dish,Food	1	1	1	0
/m/0ctfk	/m/0ctfk	Espresso	32465.5849625	Beverage,Dish,Food	1	1	1	0
/m/09gms	/m/09gms	Ramen	32015.4594316	Dish,Food	1	1	0	0
/m/07030	/m/07030	Sushi	31784.643856200004	Dish,Food	1	1	0	0
/m/081qc	/m/081qc	Wine (Ingredient)	31369.840088499997	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/0ckmp	/m/0ckmp	Chicken soup	30621.169925	Dish,Food	1	1	0	0
/m/01w8pq	/m/01w8pq	Martini	30486.5849625	Beverage,Dish	0	1	1	0
/m/04hkqs	/m/04hkqs	Bloody Mary	27406.169925	Beverage,Dish	0	1	1	0
/m/016sb3	/m/016sb3	Margarita	26600.5849625	Beverage,Dish	0	1	1	0
/m/014_z9	/m/014_z9	Apple pie	26130.5849625	Dish,Food	1	1	0	0
/m/01wmzc	/m/01wmzc	Girl Scout Cookies	22619.169925	Dish	0	1	0	0
/m/01_9v	/m/01_9v	Caesar salad	22549.285402200003	Dish,Food	1	1	0	0
/m/011xyw	/m/011xyw	Peanut butter and jelly sandwich	22400.5849625	Dish,Food	1	1	0	0
/m/03x2vh	/m/03x2vh	Wagyu	21140.807354900004	Dish,Food	1	1	0	0
/m/0jy4k	/m/0jy4k	Doughnut	19919.9068906	Dish,Food	1	1	0	0
/m/0m06w	/m/0m06w	BLT	19708.0	Dish,Food	1	1	0	0
/m/0238jq	/m/0238jq	Pad Thai	19622.5849625	Dish,Food	1	1	0	0
/m/072qlz	/m/072qlz	Bistro	19489.3219281	Dish,Food	1	1	0	0
/m/01b9xk	/m/01b9xk	Hot dog	19441.031011900002	Dish,Food	1	1	0	0
/m/024g6	/m/024g6	Cocktail	19135.6073303	Beverage,Dish	0	1	1	0
/m/02mg4z	/m/02mg4z	Cheesecake	19102.0	Dish,Food	1	1	0	0
/m/017z4t	/m/017z4t	Dal	18983.5849625	Dish,Food	1	1	0	0
/m/09dw4	/m/09dw4	Mead	18524.0	Dish	0	1	0	0
/m/012x5p	/m/012x5p	Bento	18225.5849625	Dish,Food	1	1	0	0
/m/07l4g	/m/07l4g	Tiramisu	16807.906890600003	Dish,Food	1	1	0	0
/m/01n3nh	/m/01n3nh	Sangria	16454.321928100002	Beverage,Dish,Food	1	1	1	0
/m/02zqt3	/m/02zqt3	Caesar (Beverage)	16331.5849625	Beverage,Dish	0	1	1	0
/m/0lz7j	/m/0lz7j	Kefir	15922.0	Beverage,Dish,Food	1	1	1	0
/m/0pmbh	/m/0pmbh	Dim sum food	15605.0	Dish,Food	1	1	0	0
/m/01tcjp	/m/01tcjp	Muffin	15320.5849625	Dish,Food	1	1	0	0
