	mid	name	score	types	is_food	is_dish	is_beverage	is_ingredient
/m/02fnxc	/m/02fnxc	Eggs Benedict	14830.5849625	Dish,Food	1	1	0	0
/m/09dj50	/m/09dj50	English lavender	14801.700439700002	Dish,Food	1	1	0	0
/m/02jq33	/m/02jq33	Cotton candy	14574.129283000002	Dish,Food	1	1	0	0
/m/0143h2	/m/0143h2	Port wine	14394.076815600001	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/01dwsz	/m/01dwsz	Waffle	14110.169925	Dish,Food	1	1	0	0
/m/020j3z	/m/020j3z	Meatloaf	13595.5849625	Dish,Food	1	1	0	0
/m/01f91_	/m/01f91_	Pretzel	13242.5849625	Dish,Food	1	1	0	0
/m/03f6kb	/m/03f6kb	Caviar	13118.087462799998	Dish,Food	1	1	0	0
/m/03q8g	/m/03q8g	Haggis	13090.5849625	Dish,Food	1	1	0	0
/m/037vsg	/m/037vsg	Prosciutto	13049.9772799	Dish,Food	1	1	0	0
/m/0dxrf	/m/0dxrf	Frying	13021.5849625	Dish	0	1	0	0
/m/01_3j6	/m/01_3j6	Pumpkin pie	12883.3923174	Dish,Food	1	1	0	0
/m/0chv4	/m/0chv4	Fish and chips	12850.0	Dish,Food	1	1	0	0
/m/02fz11	/m/02fz11	Gelato	12552.5849625	Dish,Food	1	1	0	0
/m/02dlfy	/m/02dlfy	King cake	12469.0	Dish,Food	1	1	0	0
/m/0lnyz	/m/0lnyz	Gravy	12440.5849625	Dish,Food	1	1	0	0
/m/03d0ts	/m/03d0ts	Panini	11971.5849625	Dish,Food	1	1	0	0
/m/01pr2g	/m/01pr2g	Peking duck	11914.5849625	Dish,Food	1	1	0	0
/m/02qhwc4	/m/02qhwc4	Full breakfast	11684.5849625	Dish,Food	1	1	0	0
/m/058hry	/m/058hry	Smoothie	11590.5849625	Beverage,Dish,Food	1	1	1	0
/m/0347py	/m/0347py	Dulce de leche	11562.5849625	Dish,Food	1	1	0	0
/m/02z0ps	/m/02z0ps	Butterscotch	11468.700439700002	Dish,Food	1	1	0	0
/m/02zvsm	/m/02zvsm	Tart	11406.5849625	Dish,Food	1	1	0	0
/m/057yl	/m/057yl	Mojito	11297.906890600001	Beverage,Dish	0	1	1	0
/m/02y17j	/m/02y17j	Pho	11161.5849625	Dish,Food	1	1	0	0
/m/05bdd4	/m/05bdd4	Tres leches cake	10824.5849625	Dish,Food	1	1	0	0
/m/01dwwc	/m/01dwwc	Pancake	10666.022367799998	Dish,Food	1	1	0	0
/m/015b1y	/m/015b1y	Mai Tai	10592.906890600001	Beverage,Dish	0	1	1	0
/m/0684y	/m/0684y	Piña colada	10520.169925	Beverage,Dish	0	1	1	0
/m/01k17j	/m/01k17j	Milkshake	10337.3219281	Beverage,Dish,Food	1	1	1	0
/m/0585y	/m/0585y	Matzo	10127.7813597	Dish,Food	1	1	0	0
/m/01px4b	/m/01px4b	Fried chicken	10032.5849625	Dish,Food	1	1	0	0
/m/01fb_0	/m/01fb_0	Bagel	10016.3663222	Dish,Food	1	1	0	0
/m/0m1gt	/m/0m1gt	Pico de gallo	9994.5849625	Dish,Food	1	1	0	0
/m/03bmz	/m/03bmz	Grits	9979.32192809	Dish,Food	1	1	0	0
/m/0879r3	/m/0879r3	Squid (Italian Dish)	9797.169925	Dish,Food	1	1	0	0
/m/01nr56	/m/01nr56	Latte	9755.32192809	Beverage,Dish,Food	1	1	1	0
/m/01rrrx	/m/01rrrx	Baguette	9407.97727992	Dish,Food	1	1	0	0
/m/01bgxn	/m/01bgxn	Sōtō	9288.0	Dish	0	1	0	0
/m/0grry	/m/0grry	Barbecue sauce	9032.5849625	Dish,Food	1	1	0	0
/m/01224x	/m/01224x	Sparkling wine	8846.53332973	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/0k5sl	/m/0k5sl	Chocolate chip cookie	8784.0	Dish,Food	1	1	0	0
/m/026ym7	/m/026ym7	Salsa sauce	8697.45943162	Dish,Food	1	1	0	0
/m/02qmkz	/m/02qmkz	Whopper	8422.0	Dish,Food	1	1	0	0
/m/011jxn	/m/011jxn	Lasagne	8421.72792045	Dish,Food	1	1	0	0
/m/05pws	/m/05pws	Old Fashioned	8410.169925	Beverage,Dish	0	1	1	0
/m/0d5nn	/m/0d5nn	Fortune cookie	8144.5849625	Dish,Food	1	1	0	0
/m/03_hl0	/m/03_hl0	Biryani	8068.5849625	Dish,Food	1	1	0	0
/m/01cs49	/m/01cs49	Cottage pie	7970.169925	Dish,Food	1	1	0	0
/m/0g07j	/m/0g07j	Baklava	7955.5849625	Dish,Food	1	1	0	0
/m/0cjyd	/m/0cjyd	Sashimi	7859.169925	Dish,Food	1	1	0	0
/m/0jzps	/m/0jzps	Hummus	7752.4918531	Dish,Food	1	1	0	0
/m/018dz0	/m/018dz0	Salami	7644.60733031	Dish,Food	1	1	0	0
/m/01j3zr	/m/01j3zr	Burrito	7234.9068906	Dish,Food	1	1	0	0
/m/01qpb2	/m/01qpb2	Sazerac	7234.5849625	Beverage,Dish	0	1	1	0
/m/016dld	/m/016dld	Jerky	7221.5849625	Dish,Food	1	1	0	0
/m/01yjq3	/m/01yjq3	Nachos	7192.5849625	Dish,Food	1	1	0	0
/m/01gxnj	/m/01gxnj	Bratwurst	6977.46760555	Dish,Food	1	1	0	0
/m/017bml	/m/017bml	Crème brûlée	6974.5849625	Dish,Food	1	1	0	0
/m/018kww	/m/018kww	Teppanyaki	6963.5849625	Dish,Food	1	1	0	0
/m/024rf7	/m/024rf7	Irish coffee	6890.5849625	Beverage,Dish	0	1	1	0
/m/04n3_8	/m/04n3_8	Tom yum	6878.5849625	Dish,Food	1	1	0	0
/m/01bzmc	/m/01bzmc	Meatball	6777.5849625	Dish,Food	1	1	0	0
/m/01hklv	/m/01hklv	Smoked salmon	6673.0	Dish	0	1	0	0
/m/02gs4w	/m/02gs4w	Bird's nest soup	6646.0	Dish	0	1	0	0
/m/027ggs	/m/027ggs	Roti	6611.64385619	Dish,Food	1	1	0	0
/m/03q6mh	/m/03q6mh	Beef Stroganoff	6607.5849625	Dish,Food	1	1	0	0
/m/022n8y	/m/022n8y	Kebab	6598.169925	Dish,Food	1	1	0	0
/m/02wv6b8	/m/02wv6b8	Edamame	6562.0	Dish,Food	1	1	0	0
/m/02jvjf	/m/02jvjf	Soda bread	6558.5849625	Dish,Food	1	1	0	0
/m/06gf2f	/m/06gf2f	Carrot cake	6549.5849625	Dish,Food	1	1	0	0
/m/0pmlq	/m/0pmlq	Chocolate bar	6480.0	Dish,Food	1	1	0	0
/m/0528g3	/m/0528g3	Biscotti	6472.5849625	Dish,Food	1	1	0	0
/m/013q4y	/m/013q4y	Cheeseburger	6344.169925	Dish,Food	1	1	0	0
/m/0271vjb	/m/0271vjb	Caffè Americano	6290.5849625	Beverage,Dish	0	1	1	0
/m/02jwtj	/m/02jwtj	Fried rice	6184.169925	Dish,Food	1	1	0	0
/m/044dt_	/m/044dt_	Challah	6155.26678654	Dish,Food	1	1	0	0
/m/01_7cz	/m/01_7cz	Dosa	6114.06608919	Dish,Food	1	1	0	0
/m/01cch6	/m/01cch6	Potato salad	6079.5849625	Dish,Food	1	1	0	0
/m/06gs1f	/m/06gs1f	Insalata Caprese	6061.5849625	Dish,Food	1	1	0	0
/m/04y5c8	/m/04y5c8	Kung Pao chicken	6010.5849625	Dish,Food	1	1	0	0
/m/02xj0b	/m/02xj0b	Hollandaise sauce	5966.53915881	Dish,Food	1	1	0	0
/m/04cym9	/m/04cym9	Banana bread	5877.5849625	Dish,Food	1	1	0	0
/m/022rt1	/m/022rt1	Jedburgh	5851.5849625	Dish	0	1	0	0
/m/01j75r	/m/01j75r	Goulash	5821.5849625	Dish,Food	1	1	0	0
/m/01w0td	/m/01w0td	Andouille	5800.5849625	Dish,Food	1	1	0	0
/m/02bh6d	/m/02bh6d	Marzipan	5797.169925	Dish,Food	1	1	0	0
/m/027jgjd	/m/027jgjd	Flip	5712.5849625	Beverage,Dish	0	1	1	0
/m/05b72n	/m/05b72n	French onion soup	5699.5849625	Dish,Food	1	1	0	0
/m/01r_qv	/m/01r_qv	Kraft Dinner	5656.5849625	Dish	0	1	0	0
/m/04tdfk	/m/04tdfk	Ciabatta	5628.5849625	Dish,Food	1	1	0	0
/m/016bn0	/m/016bn0	Omelette	5625.5849625	Dish,Food	1	1	0	0
/m/04y0_x	/m/04y0_x	Hot pot	5594.5849625	Dish,Food	1	1	0	0
/m/01662y	/m/01662y	Mulled wine	5560.169925	Dish	0	1	0	0
/m/0277rq	/m/0277rq	Penny Bun	5436.5849625	Dish	0	1	0	0
/m/03ltt3	/m/03ltt3	Turkish Delight	5397.5849625	Dish,Food	1	1	0	0
/m/01z6s	/m/01z6s	Couscous	5370.67242534	Dish,Food	1	1	0	0
/m/0b8r64	/m/0b8r64	Gratin	5301.5849625	Dish,Food	1	1	0	0
/m/01bgd_	/m/01bgd_	Chutney	5285.9068906	Dish,Food	1	1	0	0
/m/0nlk0	/m/0nlk0	Gnocchi	5236.0	Dish,Food	1	1	0	0
/m/01qf88	/m/01qf88	Gumbo	5213.169925	Dish,Food	1	1	0	0
/m/027gdv	/m/027gdv	Chicken tikka masala	5210.5849625	Dish,Food	1	1	0	0
/m/049qbg	/m/049qbg	Spring roll	5205.5849625	Dish,Food	1	1	0	0
/m/07q3b	/m/07q3b	Tapas	5145.9068906	Dish	0	1	0	0
/m/02g30s	/m/02g30s	Guacamole	5143.5849625	Dish,Food	1	1	0	0
/m/015w3y	/m/015w3y	Falafel	5130.0	Dish,Food	1	1	0	0
/m/01_xp9	/m/01_xp9	Welsh rarebit	5123.5849625	Dish,Food	1	1	0	0
/m/01m42v	/m/01m42v	Triple sec	5083.76487159	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/05bx6n	/m/05bx6n	Black Forest cake	5052.5849625	Dish,Food	1	1	0	0
/m/027ggc	/m/027ggc	Naan	5048.64385619	Dish,Food	1	1	0	0
/m/051vk	/m/051vk	Mousse	5048.5849625	Dish,Food	1	1	0	0
/m/02vvkvc	/m/02vvkvc	Walkers Shortbread	5029.9068906	Dish	0	1	0	0
/m/01_g9d	/m/01_g9d	Turducken	4933.169925	Dish,Food	1	1	0	0
/m/02plgjv	/m/02plgjv	Chicken curry	4926.5849625	Dish,Food	1	1	0	0
/m/037tgn	/m/037tgn	Béchamel sauce	4908.0	Dish,Food	1	1	0	0
/m/0245rx	/m/0245rx	Christmas pudding	4816.5849625	Dish,Food	1	1	0	0
/m/0h6_1	/m/0h6_1	Tamale (Mexican Dish)	4755.5849625	Dish,Food	1	1	0	0
/m/02m6ts	/m/02m6ts	Negroni	4735.169925	Beverage,Dish	0	1	1	0
/m/02dlv6	/m/02dlv6	Gigha	4727.5849625	Dish	0	1	0	0
/m/012y0l	/m/012y0l	Mochi	4690.5849625	Dish,Food	1	1	0	0
/m/020b3f	/m/020b3f	Frozen yogurt	4659.0	Dish,Food	1	1	0	0
/m/0fg_4r	/m/0fg_4r	Moka pot	4657.0	Dish	0	1	0	0
/m/01q6dt	/m/01q6dt	Pesto	4620.5849625	Dish,Food	1	1	0	0
/m/04535f	/m/04535f	Hamburger Helper	4518.5849625	Dish,Food	1	1	0	0
/m/028ylt	/m/028ylt	Mint julep	4433.5849625	Beverage,Dish	0	1	1	0
/m/0ct59	/m/0ct59	Paella	4422.5849625	Dish,Food	1	1	0	0
/m/02q1tp	/m/02q1tp	Polenta	4412.5849625	Dish,Food	1	1	0	0
/m/0273gv	/m/0273gv	Carbonara	4369.169925	Dish,Food	1	1	0	0
/m/02v8tn	/m/02v8tn	Korma	4300.5849625	Dish,Food	1	1	0	0
/m/02dmw4	/m/02dmw4	Scrambled eggs	4284.5849625	Dish,Food	1	1	0	0
/m/02s819	/m/02s819	Pilaf	4278.169925	Dish,Food	1	1	0	0
/m/037rw	/m/037rw	Gazpacho	4277.0	Dish	0	1	0	0
/m/0277lbh	/m/0277lbh	Pâtisserie	4267.5849625	Dish,Food	1	1	0	0
/m/02w9q6	/m/02w9q6	Focaccia	4225.83289001	Dish,Food	1	1	0	0
/m/02x27wt	/m/02x27wt	Nattokinase	4213.5849625	Dish,Food	1	1	0	0
/m/028ph1	/m/028ph1	Pierogi	4149.5849625	Dish,Food	1	1	0	0
/m/039blp	/m/039blp	Baked potato	4073.5849625	Dish,Food	1	1	0	0
/m/0dxr0	/m/0dxr0	Stir frying	4023.5849625	Dish,Food	1	1	0	0
/m/08s95c	/m/08s95c	Ossobuco	4004.5849625	Dish,Food	1	1	0	0
/m/099pqr	/m/099pqr	Salad Niçoise	3984.9068905999998	Dish,Food	1	1	0	0
/m/02mn0l	/m/02mn0l	Samosa	3952.97727992	Dish,Food	1	1	0	0
/m/049zwb	/m/049zwb	Pisco Sour	3950.32192809	Beverage,Dish	0	1	1	0
/m/09llx	/m/09llx	Yorkshire pudding	3926.5849625	Dish,Food	1	1	0	0
/m/02wf2z	/m/02wf2z	Ravioli	3912.0	Dish,Food	1	1	0	0
/m/027wmf	/m/027wmf	Jiaozi	3900.5849625	Dish,Food	1	1	0	0
/m/015wgc	/m/015wgc	Croissant	3884.5849625	Dish,Food	1	1	0	0
/m/02w4tl	/m/02w4tl	English muffin	3873.83289001	Dish,Food	1	1	0	0
/m/02pvg3	/m/02pvg3	Tim Tam	3868.5849625	Dish	0	1	0	0
/m/017blf	/m/017blf	Wheat beer	3856.25738784	Dish	0	1	0	0
/m/03ht_b	/m/03ht_b	Bánh mì	3819.5849625	Dish,Food	1	1	0	0
/m/034hjy	/m/034hjy	Fondue	3814.0	Dish,Food	1	1	0	0
/m/08jj0f	/m/08jj0f	Delmonico steak	3801.5849625	Dish	0	1	0	0
/m/02fvjy	/m/02fvjy	Mashed potato	3763.47370575	Dish,Food	1	1	0	0
/m/04trb_	/m/04trb_	Hamantash	3750.5849625	Dish,Food	1	1	0	0
/m/01f79n	/m/01f79n	Quiche	3749.9068905999998	Dish,Food	1	1	0	0
/m/0411t3	/m/0411t3	R. Torre & Company, Inc.	3712.5849625	Dish,Food	1	1	0	0
/m/0cn1d	/m/0cn1d	Puff pastry	3695.41785251	Dish,Food	1	1	0	0
/m/0j8k6	/m/0j8k6	Ceviche	3664.5849625	Dish,Food	1	1	0	0
/m/0518z0	/m/0518z0	Pecan pie	3658.5849625	Dish,Food	1	1	0	0
/m/0207sy	/m/0207sy	Caipirinha	3653.169925	Beverage,Dish	0	1	1	0
/m/021l45	/m/021l45	Daiquiri	3647.5849625	Beverage,Dish	0	1	1	0
/m/032lrz	/m/032lrz	Baba ghanoush	3632.5849625	Dish,Food	1	1	0	0
/m/03m3lz	/m/03m3lz	Grappa	3616.5849625	Dish,Food	1	1	0	0
/m/02cffd	/m/02cffd	Fettuccine alfredo	3590.5849625	Dish,Food	1	1	0	0
/m/019ctw	/m/019ctw	Sunday roast	3515.5849625	Dish,Food	1	1	0	0
/m/03n1tj	/m/03n1tj	Marshmallow creme	3500.0	Dish,Food	1	1	0	0
/m/01j0r5	/m/01j0r5	Praline	3494.5849625	Dish,Food	1	1	0	0
/m/0413ml2	/m/0413ml2	Marinara sauce	3480.5849625	Dish,Food	1	1	0	0
/m/0k0mp	/m/0k0mp	Porridge	3476.5849625	Dish,Food	1	1	0	0
/m/07qmlj	/m/07qmlj	Rye bread	3463.5849625	Dish,Food	1	1	0	0
/m/085fdt	/m/085fdt	Parmigiana	3445.5849625	Dish,Food	1	1	0	0
/m/074c75	/m/074c75	Frijoles negros	3440.36632221	Dish,Food	1	1	0	0
/m/012xc3	/m/012xc3	Miso soup	3436.5849625	Dish,Food	1	1	0	0
/m/0fy4lk	/m/0fy4lk	Bellini	3427.5849625	Beverage,Dish	0	1	1	0
/m/04ljg5	/m/04ljg5	Adobo	3423.5849625	Dish,Food	1	1	0	0
/m/060m6q	/m/060m6q	Kheer	3408.5849625	Dish,Food	1	1	0	0
/m/03nm_l	/m/03nm_l	General Tso's chicken	3404.5849625	Dish,Food	1	1	0	0
/m/052q5	/m/052q5	Minestrone	3368.5849625	Dish,Food	1	1	0	0
/m/06y_pt	/m/06y_pt	Beef bourguignon	3354.5849625	Dish,Food	1	1	0	0
/m/06gb8_	/m/06gb8_	Rasgulla	3343.169925	Dish,Food	1	1	0	0
/m/02wz0x0	/m/02wz0x0	Vinaigrette	3332.5849625	Dish,Food	1	1	0	0
/m/02qm2x	/m/02qm2x	Icing	3314.5849625	Dish,Food	1	1	0	0
/m/0hpf8	/m/0hpf8	Tzatziki	3302.5849625	Dish,Food	1	1	0	0
/m/025dqg	/m/025dqg	Idli	3298.5849625	Dish,Food	1	1	0	0
/m/09pwh	/m/09pwh	Panettone	3293.5849625	Dish,Food	1	1	0	0
/m/0gtcd	/m/0gtcd	Custard	3281.5849625	Dish,Food	1	1	0	0
/m/01qcsb	/m/01qcsb	Chewing gum	3275.169925	Dish	0	1	0	0
/m/03v_2q	/m/03v_2q	Panna cotta	3247.5849625	Dish,Food	1	1	0	0
/m/02rwww	/m/02rwww	Cassoulet	3243.5849625	Dish,Food	1	1	0	0
/m/023779	/m/023779	Nasi lemak	3236.5849625	Dish,Food	1	1	0	0
/m/03p4r6	/m/03p4r6	Snickerdoodle	3232.5849625	Dish,Food	1	1	0	0
/m/01kf5_	/m/01kf5_	Coq au vin	3229.5849625	Dish,Food	1	1	0	0
/m/01_545	/m/01_545	Jambalaya	3180.5849625	Dish,Food	1	1	0	0
/m/038sf	/m/038sf	Greek food	3152.51569984	Dish	0	1	0	0
/m/0m4tt	/m/0m4tt	Edam	3144.0	Dish,Food	1	1	0	0
/m/05gbwj	/m/05gbwj	Carne asada	3140.5849625	Dish,Food	1	1	0	0
/m/033xwr	/m/033xwr	Moussaka	3138.5849625	Dish,Food	1	1	0	0
/m/07qq8	/m/07qq8	Tom Collins	3098.5849625	Beverage,Dish	0	1	1	0
/m/03084w	/m/03084w	Breadstick	3081.5849625	Dish,Food	1	1	0	0
/m/012x_n	/m/012x_n	Okonomiyaki	3074.5849625	Dish,Food	1	1	0	0
/m/01y28g	/m/01y28g	Gyro	3059.5849625	Dish,Food	1	1	0	0
/m/04g132	/m/04g132	Wonton	3055.5849625	Dish,Food	1	1	0	0
/m/03k_qs	/m/03k_qs	Doner kebab	3038.5849625	Dish,Food	1	1	0	0
/m/04fznhq	/m/04fznhq	Pig roast	3033.0	Dish	0	1	0	0
/m/033nb2	/m/033nb2	Profiterole	3015.5849625	Dish,Food	1	1	0	0
/m/012xxq	/m/012xxq	Onigiri	3005.5849625	Dish,Food	1	1	0	0
/m/01245r	/m/01245r	Raclette	2993.0	Dish,Food	1	1	0	0
/m/040p4s	/m/040p4s	Tabbouleh	2985.169925	Dish,Food	1	1	0	0
/m/05j_l5	/m/05j_l5	Bruschetta	2954.5849625	Dish,Food	1	1	0	0
/m/022fks	/m/022fks	Singapore Sling	2952.5849625	Beverage,Dish	0	1	1	0
/m/04czcym	/m/04czcym	Antipasto	2929.5849625	Dish,Food	1	1	0	0
/m/02p4kj0	/m/02p4kj0	Beef Wellington	2882.169925	Dish,Food	1	1	0	0
/m/039v41	/m/039v41	Bouillabaisse	2880.0	Dish,Food	1	1	0	0
/m/0b86gc	/m/0b86gc	Lillet	2877.83526092	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/01crps	/m/01crps	Satay	2876.5849625	Dish,Food	1	1	0	0
/m/04dcp6	/m/04dcp6	Hainanese Chicken Rice	2872.7548875	Dish,Food	1	1	0	0
/m/01ps3d	/m/01ps3d	Potato pancake	2865.5849625	Dish,Food	1	1	0	0
/m/0hp3n	/m/0hp3n	Pavlova	2857.169925	Dish,Food	1	1	0	0
/m/0cfk35	/m/0cfk35	Chocolate truffle	2829.0	Dish,Food	1	1	0	0
/m/019vj1	/m/019vj1	Pasty	2804.5849625	Dish,Food	1	1	0	0
/m/02f5wl	/m/02f5wl	Fugu	2759.5849625	Dish,Food	1	1	0	0
/m/04bhvm	/m/04bhvm	German chocolate cake	2754.5849625	Dish,Food	1	1	0	0
/m/03rbhq	/m/03rbhq	Sundae	2727.5849625	Dish,Food	1	1	0	0
/m/01fd94	/m/01fd94	Carpaccio	2727.5849625	Dish,Food	1	1	0	0
/m/02fjhf	/m/02fjhf	Chicken nugget	2714.5849625	Dish,Food	1	1	0	0
/m/04059x	/m/04059x	Greek salad	2709.9068905999998	Dish,Food	1	1	0	0
/m/01s08d	/m/01s08d	Croque-monsieur	2700.5849625	Dish,Food	1	1	0	0
/m/057mkg	/m/057mkg	Matzah ball	2698.5849625	Dish,Food	1	1	0	0
/m/02w3c7	/m/02w3c7	Butter chicken	2656.5849625	Dish,Food	1	1	0	0
/m/01_8f5	/m/01_8f5	Churro	2625.5849625	Dish,Food	1	1	0	0
/m/025tqsx	/m/025tqsx	Cherry pie	2622.0	Dish	0	1	0	0
/m/075qs7	/m/075qs7	Banoffee pie	2597.5849625	Dish,Food	1	1	0	0
/m/03m7wd	/m/03m7wd	Sachertorte	2572.5849625	Dish,Food	1	1	0	0
/m/027g73c	/m/027g73c	Bertolli	2565.0	Dish,Food	1	1	0	0
/m/027rch	/m/027rch	Laksa	2553.5849625	Dish,Food	1	1	0	0
/m/05w3m6	/m/05w3m6	Sadya	2549.5849625	Dish,Food	1	1	0	0
/m/05dchz	/m/05dchz	Za'atar	2546.5849625	Dish,Food	1	1	0	0
/m/022lvh	/m/022lvh	Lemon meringue pie	2540.0	Dish,Food	1	1	0	0
/m/019ldr	/m/019ldr	Spanakopita	2539.0	Dish	0	1	0	0
/m/02nnr7	/m/02nnr7	Monkfish	2539.0	Dish	0	1	0	0
/m/056yz7	/m/056yz7	Apple crisp	2504.5849625	Dish,Food	1	1	0	0
/m/0267c6g	/m/0267c6g	Caponata	2501.5849625	Dish,Food	1	1	0	0
/m/023kc8	/m/023kc8	Yakitori	2472.5849625	Dish,Food	1	1	0	0
/m/09wzfj	/m/09wzfj	California roll	2472.5849625	Dish,Food	1	1	0	0
/m/01x5j8	/m/01x5j8	Crêpe	2469.0	Dish	0	1	0	0
/m/085l9t	/m/085l9t	Degustation	2465.5849625	Dish,Food	1	1	0	0
/m/02flbl	/m/02flbl	Bulgogi	2464.169925	Dish,Food	1	1	0	0
/m/06tyv4	/m/06tyv4	San Pellegrino	2461.32192809	Beverage,Dish,Food	1	1	1	0
/m/06w9jt	/m/06w9jt	Bisque	2458.169925	Dish,Food	1	1	0	0
/m/0dc3k	/m/0dc3k	Enchilada	2448.5849625	Dish,Food	1	1	0	0
/m/03dy6r	/m/03dy6r	Blintz	2404.5849625	Dish,Food	1	1	0	0
/m/06grhb	/m/06grhb	Huevos rancheros	2404.169925	Dish,Food	1	1	0	0
/m/08nk6x	/m/08nk6x	Garlic bread	2388.5849625	Dish,Food	1	1	0	0
/m/0859j	/m/0859j	White Russian	2351.169925	Beverage,Dish	0	1	1	0
/m/018zsg	/m/018zsg	Halva	2317.5849625	Dish,Food	1	1	0	0
/m/037p63	/m/037p63	Tandoori chicken	2311.5849625	Dish,Food	1	1	0	0
/m/056z5l	/m/056z5l	Boudin	2307.5849625	Dish,Food	1	1	0	0
/m/040dl5	/m/040dl5	Béarnaise sauce	2300.5849625	Dish,Food	1	1	0	0
/m/01r22b	/m/01r22b	Fried egg	2299.0	Dish	0	1	0	0
/m/0b_ykq	/m/0b_ykq	Peanut sauce	2280.41785251	Dish,Food	1	1	0	0
/m/01fl6z	/m/01fl6z	Black pudding	2256.20457114	Dish,Food	1	1	0	0
/m/02s_nm	/m/02s_nm	Sambar	2256.169925	Dish,Food	1	1	0	0
/m/02hlnc	/m/02hlnc	Chocolate brownie	2205.5849625	Dish,Food	1	1	0	0
/m/022v32	/m/022v32	Yakult	2205.0	Dish,Food	1	1	0	0
/m/03xbgv	/m/03xbgv	Schnitzel	2200.5849625	Dish,Food	1	1	0	0
/m/08nj45	/m/08nj45	Chana masala	2195.5849625	Dish,Food	1	1	0	0
/m/02pxbny	/m/02pxbny	Chicken marsala	2166.5849625	Dish,Food	1	1	0	0
/m/07895	/m/07895	Sambuca	2158.76487159	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/03kr5_	/m/03kr5_	Dolma	2155.5849625	Dish,Food	1	1	0	0
